common_name,species_group
Barton Springs salamander,Amphibians
Jollyville Plateau Salamander,Amphibians
Austin blind Salamander,Amphibians
Caerulean Paradise flycatcher,Birds
Madagascar serpent eagle,Birds
Seychelles kestrel,Birds
Northern Aplomado Falcon,Birds
Northern Aplomado Falcon,Birds
Eurasian peregrine falcon,Birds
Mauritius kestrel,Birds
Andean cat,Mammals
Pakistan sand cat,Mammals
Black-footed cat,Mammals
Spanish lynx,Mammals
Black hooded  antwren,Birds
Rodrigues fody,Birds
Mauritius fody,Birds
Seychelles fody ,Birds
Djibouti francolin,Birds
Andrew's frigatebird,Birds
Hawaiian coot,Birds
Barrens topminnow,Fishes
Tapered pigtoe,Clams
Shiny pigtoe,Clams
Shiny pigtoe,Clams
Shiny pigtoe,Clams
Finerayed pigtoe,Clams
Finerayed pigtoe,Clams
Finerayed pigtoe,Clams
Narrow pigtoe,Clams
Atlantic pigtoe,Clams
Friendly Ground-Dove,Birds
Mariana common moorhen,Birds
Hawaiian common gallinule,Birds
Lord Howe wood rail,Birds
Hierro giant lizard,Reptiles
Blunt-nosed leopard lizard,Reptiles
Big Bend gambusia,Fishes
San Marcos gambusia,Fishes
Clear Creek gambusia,Fishes
Pecos gambusia,Fishes
Illinois cave amphipod,Crustaceans
Noel's Amphipod,Crustaceans
Diminutive Amphipod,Crustaceans
Pecos amphipod,Crustaceans
Unarmored threespine stickleback,Fishes
Gavial,Reptiles
Mountain  gazelle,Mammals
Dama gazelle,Mammals
Rio de Oro Dama gazelle,Mammals
Mhorr gazelle,Mammals
Moroccan gazelle,Mammals
Pelzeln's gazelle,Mammals
Saudi Arabian gazelle,Mammals
Arabian gazelle,Mammals
Slender-horned gazelle,Mammals
Sand gazelle,Mammals
Galapagos tortoise,Reptiles
Madagascar radiated tortoise,Reptiles
Angulated tortoise,Reptiles
Spotted pond turtle,Reptiles
Night  parrot,Birds
Northern bald ibis,Birds
Hutton tui chub,Fishes
Mohave tui chub,Fishes
Owens Tui Chub,Fishes
Humpback chub,Fishes
Sonora chub,Fishes
Bonytail,Fishes
Gila chub,Fishes
Chihuahua chub,Fishes
Yaqui chub,Fishes
Pahranagat roundtail chub,Fishes
Virgin River Chub,Fishes
Carolina northern flying squirrel,Mammals
Palos Verdes blue butterfly,Insects
bog turtle,Reptiles
bog turtle,Reptiles
Desert tortoise,Reptiles
Desert tortoise,Reptiles
Bolson tortoise,Reptiles
Gopher tortoise,Reptiles
Gorilla,Mammals
Brown-banded antpitta,Birds
Yellow-blotched map turtle,Reptiles
Ringed map turtle,Reptiles
Whooping crane,Birds
Whooping crane,Birds
Whooping crane,Birds
Whooping crane,Birds
Cuba sandhill crane,Birds
Mississippi sandhill crane,Birds
Japanese Crane,Birds
Siberian white Crane,Birds
Hooded Crane,Birds
Black-necked Crane,Birds
White-naped Crane,Birds
Leadbeater's Possum,Mammals
California condor,Birds
California condor,Birds
California condor,Birds
Mao ,Birds
Northeastern beach tiger beetle,Insects
Canarian black oystercatcher,Birds
Guam Micronesian kingfisher,Birds
Greenland white-tailed eagle,Birds
Madagascar sea eagle,Birds
Black Abalone,Snails
White Abalone,Snails
Finelined pocketbook,Clams
Southern Sandshell,Clams
Orangenacre mucket,Clams
Shinyrayed pocketbook,Clams
Harpy eagle,Birds
Morro shoulderband  snail,Snails
Ceraunus Blue Butterfly,Insects
Maui nukupuu,Birds
Kauai nukupuu,Birds
akiapolaau,Birds
Chatham Island pigeon,Birds
Cracking pearlymussel,Clams
Cracking pearlymussel,Clams
Cracking pearlymussel,Clams
Arabian tahr,Mammals
Kaempfer's tody-tyrant,Birds
Schaus swallowtail butterfly,Insects
Guatemalan jaguarundi,Mammals
Panamanian jaguarundi,Mammals
Dakota Skipper,Insects
Pawnee montane skipper,Insects
Comal Springs riffle beetle,Insects
Hawaiian stilt,Birds
Black Stilt,Birds
North Andean huemul,Mammals
South Andean huemul,Mammals
Singapore roundleaf horseshoe bat,Mammals
Giant sable antelope,Mammals
Kaluga sturgeon,Fishes
Beluga sturgeon,Fishes
